rowid,hometeam,homescore,awayteam,awayscore,winnerteam,winnerhomeoraway,margin,total
510,Lions,30,Saints,23,Lions,home,7,53
511,Lions,20,Saints,10,Lions,home,10,30
512,Lions,20,Saints,33,Saints,away,-13,53
513,Lions,21,Saints,14,Lions,home,7,35
514,Lions,20,Saints,23,Saints,away,-3,43
515,Lions,17,Saints,37,Saints,away,-20,54
516,Lions,13,Saints,16,Saints,away,-3,29
517,Lions,20,Saints,30,Saints,away,-10,50
518,Lions,31,Saints,20,Lions,home,11,51
519,Lions,28,Saints,23,Lions,home,5,51
520,Lions,17,Saints,30,Saints,away,-13,47
521,Lions,6,Saints,23,Saints,away,-17,29
522,Lions,30,Saints,16,Lions,home,14,46
523,Lions,28,Saints,35,Saints,away,-7,63
524,Lions,52,Saints,13,Lions,home,39,65
525,Lions,13,Saints,33,Saints,away,-20,46
526,Lions,20,Saints,38,Saints,away,-18,58
527,Lions,31,Saints,30,Lions,home,1,61
528,Lions,7,Saints,21,Saints,away,-14,28
529,Lions,10,Saints,43,Saints,away,-33,53
530,Lions,6,Saints,33,Saints,away,-27,39
531,Lions,31,Saints,23,Lions,home,8,54
532,Lions,25,Saints,7,Lions,home,18,32
533,Lions,27,Saints,34,Saints,away,-7,61
534,Lions,10,Saints,30,Saints,away,-20,40
535,Lions,17,Saints,3,Lions,home,14,20
536,Lions,20,Saints,12,Lions,home,8,32
537,Lions,30,Saints,37,Saints,away,-7,67
538,Lions,7,Saints,27,Saints,away,-20,34
539,Lions,6,Saints,24,Saints,away,-18,30
540,Lions,24,Saints,34,Saints,away,-10,58
541,Lions,17,Saints,16,Lions,home,1,33
542,Lions,17,Saints,23,Saints,away,-6,40
543,Lions,24,Saints,21,Lions,home,3,45
544,Lions,6,Saints,19,Saints,away,-13,25
545,Lions,37,Saints,14,Lions,home,23,51
546,Lions,13,Saints,44,Saints,away,-31,57
547,Lions,7,Saints,17,Saints,away,-10,24
548,Lions,10,Saints,20,Saints,away,-10,30
549,Lions,28,Saints,23,Lions,home,5,51
550,Lions,26,Saints,34,Saints,away,-8,60
551,Lions,20,Saints,6,Lions,home,14,26
552,Lions,13,Saints,27,Saints,away,-14,40
553,Lions,14,Saints,48,Saints,away,-34,62
554,Lions,0,Saints,34,Saints,away,-34,34
555,Lions,23,Saints,24,Saints,away,-1,47
556,Lions,14,Saints,20,Saints,away,-6,34
557,Lions,27,Saints,20,Lions,home,7,47
558,Lions,13,Saints,24,Saints,away,-11,37
559,Lions,3,Saints,36,Saints,away,-33,39
560,Lions,21,Saints,19,Lions,home,2,40
561,Lions,13,Saints,24,Saints,away,-11,37
562,Lions,13,Saints,19,Saints,away,-6,32
563,Lions,24,Saints,23,Lions,home,1,47
564,Lions,14,Saints,22,Saints,away,-8,36
565,Lions,20,Saints,27,Saints,away,-7,47
566,Lions,24,Saints,7,Lions,home,17,31
567,Lions,7,Saints,38,Saints,away,-31,45
568,Lions,24,Saints,35,Saints,away,-11,59
569,Lions,7,Saints,22,Saints,away,-15,29
570,Lions,13,Saints,20,Saints,away,-7,33
571,Lions,38,Saints,16,Lions,home,22,54
572,Lions,34,Saints,17,Lions,home,17,51
573,Lions,31,Saints,24,Lions,home,7,55
574,Lions,20,Saints,15,Lions,home,5,35
575,Lions,20,Saints,38,Saints,away,-18,58
576,Lions,7,Saints,34,Saints,away,-27,41
577,Lions,20,Saints,12,Lions,home,8,32
578,Lions,26,Saints,6,Lions,home,20,32
579,Lions,24,Saints,14,Lions,home,10,38
580,Lions,10,Saints,16,Saints,away,-6,26
581,Lions,16,Saints,24,Saints,away,-8,40
582,Lions,13,Saints,30,Saints,away,-17,43
583,Lions,23,Saints,35,Saints,away,-12,58
584,Lions,27,Saints,24,Lions,home,3,51
585,Lions,13,Saints,30,Saints,away,-17,43
586,Lions,20,Saints,13,Lions,home,7,33
587,Lions,38,Saints,24,Lions,home,14,62
588,Lions,21,Saints,44,Saints,away,-23,65
589,Lions,20,Saints,26,Saints,away,-6,46
590,Lions,26,Saints,20,Lions,home,6,46
591,Lions,35,Saints,30,Lions,home,5,65
592,Lions,13,Saints,28,Saints,away,-15,41
593,Lions,30,Saints,26,Lions,home,4,56
594,Lions,10,Saints,26,Saints,away,-16,36
595,Lions,3,Saints,26,Saints,away,-23,29
596,Lions,20,Saints,24,Saints,away,-4,44
597,Lions,30,Saints,26,Lions,home,4,56
598,Lions,23,Saints,16,Lions,home,7,39
599,Lions,3,Saints,34,Saints,away,-31,37
600,Lions,17,Saints,44,Saints,away,-27,61
601,Texans,14,Vikings,17,Vikings,away,-3,31
602,Texans,35,Vikings,7,Texans,home,28,42
603,Texans,35,Vikings,27,Texans,home,8,62
604,Texans,14,Vikings,23,Vikings,away,-9,37
605,Texans,9,Vikings,20,Vikings,away,-11,29
606,Texans,10,Vikings,27,Vikings,away,-17,37
607,Texans,42,Vikings,3,Texans,home,39,45
608,Texans,20,Vikings,31,Vikings,away,-11,51
609,Texans,27,Vikings,24,Texans,home,3,51
610,Texans,13,Vikings,20,Vikings,away,-7,33
611,Texans,10,Vikings,28,Vikings,away,-18,38
612,Texans,21,Vikings,9,Texans,home,12,30
613,Texans,21,Vikings,17,Texans,home,4,38
614,Texans,17,Vikings,28,Vikings,away,-11,45
615,Texans,14,Vikings,55,Vikings,away,-41,69
616,Texans,14,Vikings,37,Vikings,away,-23,51
617,Texans,27,Vikings,6,Texans,home,21,33
618,Texans,27,Vikings,23,Texans,home,4,50
619,Texans,52,Vikings,17,Texans,home,35,69
620,Texans,21,Vikings,14,Texans,home,7,35
621,Texans,20,Vikings,17,Texans,home,3,37
622,Texans,10,Vikings,24,Vikings,away,-14,34
623,Texans,34,Vikings,24,Texans,home,10,58
624,Texans,17,Vikings,13,Texans,home,4,30
625,Texans,20,Vikings,30,Vikings,away,-10,50
626,Texans,35,Vikings,24,Texans,home,11,59
627,Texans,34,Vikings,21,Texans,home,13,55
628,Texans,24,Vikings,27,Vikings,away,-3,51
629,Texans,10,Vikings,28,Vikings,away,-18,38
630,Texans,17,Vikings,6,Texans,home,11,23
631,Texans,34,Vikings,24,Texans,home,10,58
632,Texans,21,Vikings,27,Vikings,away,-6,48
633,Texans,31,Vikings,38,Vikings,away,-7,69
634,Texans,30,Vikings,38,Vikings,away,-8,68
635,Texans,27,Vikings,10,Texans,home,17,37
636,Texans,38,Vikings,27,Texans,home,11,65
637,Texans,35,Vikings,31,Texans,home,4,66
638,Texans,30,Vikings,24,Texans,home,6,54
639,Texans,41,Vikings,17,Texans,home,24,58
640,Texans,10,Vikings,45,Vikings,away,-35,55
641,Texans,38,Vikings,13,Texans,home,25,51
642,Texans,10,Vikings,17,Vikings,away,-7,27
643,Texans,16,Vikings,13,Texans,home,3,29
644,Texans,23,Vikings,24,Vikings,away,-1,47
645,Texans,26,Vikings,14,Texans,home,12,40
646,Texans,20,Vikings,14,Texans,home,6,34
647,Texans,10,Vikings,28,Vikings,away,-18,38
648,Texans,28,Vikings,7,Texans,home,21,35
649,Texans,14,Vikings,21,Vikings,away,-7,35
650,Texans,14,Vikings,20,Vikings,away,-6,34
651,Texans,41,Vikings,10,Texans,home,31,51
652,Texans,7,Vikings,24,Vikings,away,-17,31
653,Texans,14,Vikings,10,Texans,home,4,24
654,Texans,24,Vikings,17,Texans,home,7,41
655,Texans,31,Vikings,21,Texans,home,10,52
656,Texans,24,Vikings,16,Texans,home,8,40
657,Texans,10,Vikings,31,Vikings,away,-21,41
658,Texans,42,Vikings,20,Texans,home,22,62
659,Texans,34,Vikings,17,Texans,home,17,51
660,Texans,21,Vikings,13,Texans,home,8,34
661,Texans,41,Vikings,17,Texans,home,24,58
662,Texans,34,Vikings,21,Texans,home,13,55
663,Texans,10,Vikings,38,Vikings,away,-28,48
664,Texans,9,Vikings,31,Vikings,away,-22,40
665,Texans,20,Vikings,24,Vikings,away,-4,44
666,Texans,35,Vikings,10,Texans,home,25,45
667,Texans,20,Vikings,24,Vikings,away,-4,44
668,Texans,13,Vikings,14,Vikings,away,-1,27
669,Texans,51,Vikings,0,Texans,home,51,51
670,Texans,31,Vikings,28,Texans,home,3,59
671,Texans,31,Vikings,27,Texans,home,4,58
672,Texans,35,Vikings,14,Texans,home,21,49
673,Texans,23,Vikings,14,Texans,home,9,37
674,Texans,16,Vikings,41,Vikings,away,-25,57
675,Texans,31,Vikings,27,Texans,home,4,58
676,Texans,13,Vikings,10,Texans,home,3,23
677,Texans,34,Vikings,30,Texans,home,4,64
678,Texans,42,Vikings,6,Texans,home,36,48
679,Texans,28,Vikings,27,Texans,home,1,55
680,Texans,24,Vikings,17,Texans,home,7,41
681,Texans,16,Vikings,31,Vikings,away,-15,47
682,Texans,31,Vikings,34,Vikings,away,-3,65
683,Texans,31,Vikings,19,Texans,home,12,50
684,Texans,24,Vikings,17,Texans,home,7,41
685,Texans,20,Vikings,27,Vikings,away,-7,47
686,Texans,27,Vikings,21,Texans,home,6,48
687,Texans,14,Vikings,20,Vikings,away,-6,34
688,Texans,41,Vikings,48,Vikings,away,-7,89
689,Texans,17,Vikings,19,Vikings,away,-2,36
690,Texans,20,Vikings,17,Texans,home,3,37
691,Texans,7,Vikings,27,Vikings,away,-20,34
692,Texans,28,Vikings,13,Texans,home,15,41
693,Texans,35,Vikings,42,Vikings,away,-7,77
694,Texans,24,Vikings,21,Texans,home,3,45
695,Texans,21,Vikings,28,Vikings,away,-7,49
696,Texans,13,Vikings,33,Vikings,away,-20,46
697,Texans,9,Vikings,31,Vikings,away,-22,40
698,Texans,34,Vikings,13,Texans,home,21,47
699,Texans,16,Vikings,20,Vikings,away,-4,36
700,Texans,21,Vikings,14,Texans,home,7,35
701,Dolphins,6,Seahawks,49,Seahawks,away,-43,55
702,Dolphins,13,Seahawks,49,Seahawks,away,-36,62
703,Dolphins,10,Seahawks,28,Seahawks,away,-18,38
704,Dolphins,20,Seahawks,23,Seahawks,away,-3,43
705,Dolphins,3,Seahawks,59,Seahawks,away,-56,62
706,Dolphins,20,Seahawks,42,Seahawks,away,-22,62
707,Dolphins,22,Seahawks,59,Seahawks,away,-37,81
708,Dolphins,11,Seahawks,44,Seahawks,away,-33,55
709,Dolphins,10,Seahawks,51,Seahawks,away,-41,61
710,Dolphins,6,Seahawks,27,Seahawks,away,-21,33
711,Dolphins,9,Seahawks,30,Seahawks,away,-21,39
712,Dolphins,23,Seahawks,27,Seahawks,away,-4,50
713,Dolphins,10,Seahawks,37,Seahawks,away,-27,47
714,Dolphins,7,Seahawks,33,Seahawks,away,-26,40
715,Dolphins,13,Seahawks,40,Seahawks,away,-27,53
716,Dolphins,23,Seahawks,27,Seahawks,away,-4,50
717,Dolphins,26,Seahawks,38,Seahawks,away,-12,64
718,Dolphins,13,Seahawks,45,Seahawks,away,-32,58
719,Dolphins,28,Seahawks,23,Dolphins,home,5,51
720,Dolphins,31,Seahawks,37,Seahawks,away,-6,68
721,Dolphins,17,Seahawks,38,Seahawks,away,-21,55
722,Dolphins,13,Seahawks,27,Seahawks,away,-14,40
723,Dolphins,3,Seahawks,30,Seahawks,away,-27,33
724,Dolphins,15,Seahawks,31,Seahawks,away,-16,46
725,Dolphins,23,Seahawks,17,Dolphins,home,6,40
726,Dolphins,23,Seahawks,0,Dolphins,home,23,23
727,Dolphins,20,Seahawks,27,Seahawks,away,-7,47
728,Dolphins,24,Seahawks,30,Seahawks,away,-6,54
729,Dolphins,17,Seahawks,31,Seahawks,away,-14,48
730,Dolphins,19,Seahawks,31,Seahawks,away,-12,50
731,Dolphins,10,Seahawks,33,Seahawks,away,-23,43
732,Dolphins,27,Seahawks,42,Seahawks,away,-15,69
733,Dolphins,6,Seahawks,31,Seahawks,away,-25,37
734,Dolphins,28,Seahawks,31,Seahawks,away,-3,59
735,Dolphins,23,Seahawks,31,Seahawks,away,-8,54
736,Dolphins,27,Seahawks,28,Seahawks,away,-1,55
737,Dolphins,30,Seahawks,31,Seahawks,away,-1,61
738,Dolphins,15,Seahawks,31,Seahawks,away,-16,46
739,Dolphins,13,Seahawks,38,Seahawks,away,-25,51
740,Dolphins,12,Seahawks,28,Seahawks,away,-16,40
741,Dolphins,17,Seahawks,38,Seahawks,away,-21,55
742,Dolphins,34,Seahawks,36,Seahawks,away,-2,70
743,Dolphins,17,Seahawks,36,Seahawks,away,-19,53
744,Dolphins,10,Seahawks,56,Seahawks,away,-46,66
745,Dolphins,20,Seahawks,28,Seahawks,away,-8,48
746,Dolphins,14,Seahawks,44,Seahawks,away,-30,58
747,Dolphins,31,Seahawks,34,Seahawks,away,-3,65
748,Dolphins,17,Seahawks,31,Seahawks,away,-14,48
749,Dolphins,23,Seahawks,31,Seahawks,away,-8,54
750,Dolphins,28,Seahawks,27,Dolphins,home,1,55
751,Dolphins,3,Seahawks,30,Seahawks,away,-27,33
752,Dolphins,24,Seahawks,42,Seahawks,away,-18,66
753,Dolphins,20,Seahawks,59,Seahawks,away,-39,79
754,Dolphins,20,Seahawks,37,Seahawks,away,-17,57
755,Dolphins,13,Seahawks,38,Seahawks,away,-25,51
756,Dolphins,17,Seahawks,38,Seahawks,away,-21,55
757,Dolphins,30,Seahawks,49,Seahawks,away,-19,79
758,Dolphins,14,Seahawks,33,Seahawks,away,-19,47
759,Dolphins,10,Seahawks,29,Seahawks,away,-19,39
760,Dolphins,12,Seahawks,37,Seahawks,away,-25,49
761,Dolphins,17,Seahawks,52,Seahawks,away,-35,69
762,Dolphins,6,Seahawks,45,Seahawks,away,-39,51
763,Dolphins,21,Seahawks,30,Seahawks,away,-9,51
764,Dolphins,17,Seahawks,38,Seahawks,away,-21,55
765,Dolphins,19,Seahawks,40,Seahawks,away,-21,59
766,Dolphins,34,Seahawks,19,Dolphins,home,15,53
767,Dolphins,24,Seahawks,30,Seahawks,away,-6,54
768,Dolphins,16,Seahawks,42,Seahawks,away,-26,58
769,Dolphins,7,Seahawks,41,Seahawks,away,-34,48
770,Dolphins,20,Seahawks,24,Seahawks,away,-4,44
771,Dolphins,21,Seahawks,23,Seahawks,away,-2,44
772,Dolphins,13,Seahawks,38,Seahawks,away,-25,51
773,Dolphins,37,Seahawks,38,Seahawks,away,-1,75
774,Dolphins,16,Seahawks,42,Seahawks,away,-26,58
775,Dolphins,27,Seahawks,56,Seahawks,away,-29,83
776,Dolphins,3,Seahawks,65,Seahawks,away,-62,68
777,Dolphins,14,Seahawks,37,Seahawks,away,-23,51
778,Dolphins,10,Seahawks,44,Seahawks,away,-34,54
779,Dolphins,17,Seahawks,33,Seahawks,away,-16,50
780,Dolphins,17,Seahawks,59,Seahawks,away,-42,76
781,Dolphins,10,Seahawks,37,Seahawks,away,-27,47
782,Dolphins,9,Seahawks,38,Seahawks,away,-29,47
783,Dolphins,3,Seahawks,44,Seahawks,away,-41,47
784,Dolphins,14,Seahawks,20,Seahawks,away,-6,34
785,Dolphins,20,Seahawks,27,Seahawks,away,-7,47
786,Dolphins,10,Seahawks,44,Seahawks,away,-34,54
787,Dolphins,16,Seahawks,37,Seahawks,away,-21,53
788,Dolphins,14,Seahawks,41,Seahawks,away,-27,55
789,Dolphins,13,Seahawks,34,Seahawks,away,-21,47
790,Dolphins,27,Seahawks,38,Seahawks,away,-11,65
791,Dolphins,21,Seahawks,58,Seahawks,away,-37,79
792,Dolphins,28,Seahawks,37,Seahawks,away,-9,65
793,Dolphins,16,Seahawks,45,Seahawks,away,-29,61
794,Dolphins,7,Seahawks,30,Seahawks,away,-23,37
795,Dolphins,3,Seahawks,31,Seahawks,away,-28,34
796,Dolphins,13,Seahawks,48,Seahawks,away,-35,61
797,Dolphins,20,Seahawks,17,Dolphins,home,3,37
798,Dolphins,37,Seahawks,6,Dolphins,home,31,43
799,Dolphins,17,Seahawks,41,Seahawks,away,-24,58
800,Dolphins,13,Seahawks,20,Seahawks,away,-7,33
801,Buccaneers,31,Chargers,17,Buccaneers,home,14,48
802,Buccaneers,38,Chargers,20,Buccaneers,home,18,58
803,Buccaneers,20,Chargers,16,Buccaneers,home,4,36
804,Buccaneers,14,Chargers,24,Chargers,away,-10,38
805,Buccaneers,21,Chargers,26,Chargers,away,-5,47
806,Buccaneers,23,Chargers,14,Buccaneers,home,9,37
807,Buccaneers,19,Chargers,31,Chargers,away,-12,50
808,Buccaneers,27,Chargers,23,Buccaneers,home,4,50
809,Buccaneers,6,Chargers,10,Chargers,away,-4,16
810,Buccaneers,6,Chargers,23,Chargers,away,-17,29
811,Buccaneers,22,Chargers,24,Chargers,away,-2,46
812,Buccaneers,10,Chargers,38,Chargers,away,-28,48
813,Buccaneers,10,Chargers,31,Chargers,away,-21,41
814,Buccaneers,14,Chargers,10,Buccaneers,home,4,24
815,Buccaneers,24,Chargers,9,Buccaneers,home,15,33
816,Buccaneers,27,Chargers,17,Buccaneers,home,10,44
817,Buccaneers,10,Chargers,12,Chargers,away,-2,22
818,Buccaneers,13,Chargers,30,Chargers,away,-17,43
819,Buccaneers,3,Chargers,34,Chargers,away,-31,37
820,Buccaneers,17,Chargers,24,Chargers,away,-7,41
821,Buccaneers,16,Chargers,30,Chargers,away,-14,46
822,Buccaneers,27,Chargers,6,Buccaneers,home,21,33
823,Buccaneers,20,Chargers,24,Chargers,away,-4,44
824,Buccaneers,21,Chargers,51,Chargers,away,-30,72
825,Buccaneers,27,Chargers,34,Chargers,away,-7,61
826,Buccaneers,7,Chargers,31,Chargers,away,-24,38
827,Buccaneers,17,Chargers,16,Buccaneers,home,1,33
828,Buccaneers,3,Chargers,27,Chargers,away,-24,30
829,Buccaneers,3,Chargers,23,Chargers,away,-20,26
830,Buccaneers,22,Chargers,31,Chargers,away,-9,53
831,Buccaneers,16,Chargers,38,Chargers,away,-22,54
832,Buccaneers,37,Chargers,33,Buccaneers,home,4,70
833,Buccaneers,17,Chargers,26,Chargers,away,-9,43
834,Buccaneers,10,Chargers,44,Chargers,away,-34,54
835,Buccaneers,24,Chargers,27,Chargers,away,-3,51
836,Buccaneers,31,Chargers,21,Buccaneers,home,10,52
837,Buccaneers,37,Chargers,13,Buccaneers,home,24,50
838,Buccaneers,24,Chargers,23,Buccaneers,home,1,47
839,Buccaneers,10,Chargers,20,Chargers,away,-10,30
840,Buccaneers,21,Chargers,43,Chargers,away,-22,64
841,Buccaneers,10,Chargers,48,Chargers,away,-38,58
842,Buccaneers,7,Chargers,28,Chargers,away,-21,35
843,Buccaneers,24,Chargers,23,Buccaneers,home,1,47
844,Buccaneers,38,Chargers,16,Buccaneers,home,22,54
845,Buccaneers,10,Chargers,26,Chargers,away,-16,36
846,Buccaneers,13,Chargers,31,Chargers,away,-18,44
847,Buccaneers,33,Chargers,30,Buccaneers,home,3,63
848,Buccaneers,6,Chargers,27,Chargers,away,-21,33
849,Buccaneers,20,Chargers,45,Chargers,away,-25,65
850,Buccaneers,17,Chargers,14,Buccaneers,home,3,31
851,Buccaneers,20,Chargers,12,Buccaneers,home,8,32
852,Buccaneers,23,Chargers,10,Buccaneers,home,13,33
853,Buccaneers,14,Chargers,33,Chargers,away,-19,47
854,Buccaneers,27,Chargers,30,Chargers,away,-3,57
855,Buccaneers,16,Chargers,24,Chargers,away,-8,40
856,Buccaneers,10,Chargers,24,Chargers,away,-14,34
857,Buccaneers,10,Chargers,16,Chargers,away,-6,26
858,Buccaneers,22,Chargers,3,Buccaneers,home,19,25
859,Buccaneers,24,Chargers,30,Chargers,away,-6,54
860,Buccaneers,17,Chargers,13,Buccaneers,home,4,30
861,Buccaneers,10,Chargers,27,Chargers,away,-17,37
862,Buccaneers,24,Chargers,28,Chargers,away,-4,52
863,Buccaneers,26,Chargers,24,Buccaneers,home,2,50
864,Buccaneers,13,Chargers,19,Chargers,away,-6,32
865,Buccaneers,3,Chargers,37,Chargers,away,-34,40
866,Buccaneers,0,Chargers,31,Chargers,away,-31,31
867,Buccaneers,7,Chargers,10,Chargers,away,-3,17
868,Buccaneers,3,Chargers,38,Chargers,away,-35,41
869,Buccaneers,27,Chargers,33,Chargers,away,-6,60
870,Buccaneers,16,Chargers,34,Chargers,away,-18,50
871,Buccaneers,30,Chargers,28,Buccaneers,home,2,58
872,Buccaneers,16,Chargers,14,Buccaneers,home,2,30
873,Buccaneers,17,Chargers,33,Chargers,away,-16,50
874,Buccaneers,27,Chargers,10,Buccaneers,home,17,37
875,Buccaneers,17,Chargers,23,Chargers,away,-6,40
876,Buccaneers,24,Chargers,16,Buccaneers,home,8,40
877,Buccaneers,31,Chargers,17,Buccaneers,home,14,48
878,Buccaneers,24,Chargers,19,Buccaneers,home,5,43
879,Buccaneers,20,Chargers,16,Buccaneers,home,4,36
880,Buccaneers,21,Chargers,23,Chargers,away,-2,44
881,Buccaneers,13,Chargers,20,Chargers,away,-7,33
882,Buccaneers,50,Chargers,31,Buccaneers,home,19,81
883,Buccaneers,31,Chargers,30,Buccaneers,home,1,61
884,Buccaneers,14,Chargers,31,Chargers,away,-17,45
885,Buccaneers,14,Chargers,13,Buccaneers,home,1,27
886,Buccaneers,13,Chargers,34,Chargers,away,-21,47
887,Buccaneers,31,Chargers,33,Chargers,away,-2,64
888,Buccaneers,13,Chargers,29,Chargers,away,-16,42
889,Buccaneers,19,Chargers,13,Buccaneers,home,6,32
890,Buccaneers,6,Chargers,13,Chargers,away,-7,19
891,Buccaneers,7,Chargers,16,Chargers,away,-9,23
892,Buccaneers,3,Chargers,27,Chargers,away,-24,30
893,Buccaneers,17,Chargers,27,Chargers,away,-10,44
894,Buccaneers,35,Chargers,38,Chargers,away,-3,73
895,Buccaneers,16,Chargers,13,Buccaneers,home,3,29
896,Buccaneers,10,Chargers,27,Chargers,away,-17,37
897,Buccaneers,20,Chargers,27,Chargers,away,-7,47
898,Buccaneers,17,Chargers,23,Chargers,away,-6,40
899,Buccaneers,10,Chargers,23,Chargers,away,-13,33
900,Buccaneers,7,Chargers,30,Chargers,away,-23,37
901,Titans,14,Steelers,34,Steelers,away,-20,48
902,Titans,17,Steelers,13,Titans,home,4,30
903,Titans,6,Steelers,31,Steelers,away,-25,37
904,Titans,13,Steelers,17,Steelers,away,-4,30
905,Titans,13,Steelers,55,Steelers,away,-42,68
906,Titans,21,Steelers,34,Steelers,away,-13,55
907,Titans,10,Steelers,24,Steelers,away,-14,34
908,Titans,13,Steelers,38,Steelers,away,-25,51
909,Titans,3,Steelers,50,Steelers,away,-47,53
910,Titans,24,Steelers,16,Titans,home,8,40
911,Titans,13,Steelers,41,Steelers,away,-28,54
912,Titans,13,Steelers,38,Steelers,away,-25,51
913,Titans,20,Steelers,13,Titans,home,7,33
914,Titans,7,Steelers,23,Steelers,away,-16,30
915,Titans,21,Steelers,23,Steelers,away,-2,44
916,Titans,17,Steelers,37,Steelers,away,-20,54
917,Titans,41,Steelers,22,Titans,home,19,63
918,Titans,7,Steelers,16,Steelers,away,-9,23
919,Titans,0,Steelers,35,Steelers,away,-35,35
920,Titans,13,Steelers,3,Titans,home,10,16
921,Titans,17,Steelers,24,Steelers,away,-7,41
922,Titans,3,Steelers,26,Steelers,away,-23,29
923,Titans,10,Steelers,48,Steelers,away,-38,58
924,Titans,7,Steelers,30,Steelers,away,-23,37
925,Titans,16,Steelers,26,Steelers,away,-10,42
926,Titans,10,Steelers,30,Steelers,away,-20,40
927,Titans,6,Steelers,44,Steelers,away,-38,50
928,Titans,3,Steelers,52,Steelers,away,-49,55
929,Titans,21,Steelers,19,Titans,home,2,40
930,Titans,14,Steelers,45,Steelers,away,-31,59
931,Titans,16,Steelers,31,Steelers,away,-15,47
932,Titans,6,Steelers,34,Steelers,away,-28,40
933,Titans,0,Steelers,22,Steelers,away,-22,22
934,Titans,23,Steelers,41,Steelers,away,-18,64
935,Titans,16,Steelers,34,Steelers,away,-18,50
936,Titans,0,Steelers,37,Steelers,away,-37,37
937,Titans,17,Steelers,34,Steelers,away,-17,51
938,Titans,14,Steelers,50,Steelers,away,-36,64
939,Titans,6,Steelers,52,Steelers,away,-46,58
940,Titans,3,Steelers,27,Steelers,away,-24,30
941,Titans,28,Steelers,15,Titans,home,13,43
942,Titans,13,Steelers,22,Steelers,away,-9,35
943,Titans,13,Steelers,17,Steelers,away,-4,30
944,Titans,20,Steelers,32,Steelers,away,-12,52
945,Titans,17,Steelers,31,Steelers,away,-14,48
946,Titans,21,Steelers,17,Titans,home,4,38
947,Titans,17,Steelers,19,Steelers,away,-2,36
948,Titans,24,Steelers,36,Steelers,away,-12,60
949,Titans,13,Steelers,19,Steelers,away,-6,32
950,Titans,28,Steelers,40,Steelers,away,-12,68
951,Titans,12,Steelers,44,Steelers,away,-32,56
952,Titans,17,Steelers,37,Steelers,away,-20,54
953,Titans,34,Steelers,27,Titans,home,7,61
954,Titans,6,Steelers,34,Steelers,away,-28,40
955,Titans,13,Steelers,23,Steelers,away,-10,36
956,Titans,29,Steelers,33,Steelers,away,-4,62
957,Titans,28,Steelers,10,Titans,home,18,38
958,Titans,17,Steelers,20,Steelers,away,-3,37
959,Titans,17,Steelers,31,Steelers,away,-14,48
960,Titans,12,Steelers,6,Titans,home,6,18
961,Titans,17,Steelers,29,Steelers,away,-12,46
962,Titans,30,Steelers,37,Steelers,away,-7,67
963,Titans,10,Steelers,30,Steelers,away,-20,40
964,Titans,9,Steelers,34,Steelers,away,-25,43
965,Titans,10,Steelers,17,Steelers,away,-7,27
966,Titans,17,Steelers,24,Steelers,away,-7,41
967,Titans,13,Steelers,22,Steelers,away,-9,35
968,Titans,13,Steelers,27,Steelers,away,-14,40
969,Titans,14,Steelers,27,Steelers,away,-13,41
970,Titans,13,Steelers,26,Steelers,away,-13,39
971,Titans,19,Steelers,14,Titans,home,5,33
972,Titans,17,Steelers,37,Steelers,away,-20,54
973,Titans,20,Steelers,17,Titans,home,3,37
974,Titans,10,Steelers,28,Steelers,away,-18,38
975,Titans,10,Steelers,27,Steelers,away,-17,37
976,Titans,16,Steelers,34,Steelers,away,-18,50
977,Titans,14,Steelers,26,Steelers,away,-12,40
978,Titans,10,Steelers,30,Steelers,away,-20,40
979,Titans,16,Steelers,34,Steelers,away,-18,50
980,Titans,20,Steelers,12,Titans,home,8,32
981,Titans,0,Steelers,30,Steelers,away,-30,30
982,Titans,34,Steelers,3,Titans,home,31,37
983,Titans,7,Steelers,35,Steelers,away,-28,42
984,Titans,7,Steelers,31,Steelers,away,-24,38
985,Titans,7,Steelers,27,Steelers,away,-20,34
986,Titans,17,Steelers,27,Steelers,away,-10,44
987,Titans,38,Steelers,20,Titans,home,18,58
988,Titans,9,Steelers,21,Steelers,away,-12,30
989,Titans,27,Steelers,28,Steelers,away,-1,55
990,Titans,17,Steelers,49,Steelers,away,-32,66
991,Titans,21,Steelers,23,Steelers,away,-2,44
992,Titans,7,Steelers,38,Steelers,away,-31,45
993,Titans,20,Steelers,10,Titans,home,10,30
994,Titans,17,Steelers,20,Steelers,away,-3,37
995,Titans,0,Steelers,45,Steelers,away,-45,45
996,Titans,13,Steelers,27,Steelers,away,-14,40
997,Titans,3,Steelers,24,Steelers,away,-21,27
998,Titans,10,Steelers,31,Steelers,away,-21,41
999,Titans,14,Steelers,34,Steelers,away,-20,48
1000,Titans,28,Steelers,33,Steelers,away,-5,61
1001,Redskins,12,Ravens,23,Ravens,away,-11,35
1002,Redskins,17,Ravens,19,Ravens,away,-2,36
1003,Redskins,3,Ravens,20,Ravens,away,-17,23
1004,Redskins,6,Ravens,30,Ravens,away,-24,36
1005,Redskins,10,Ravens,48,Ravens,away,-38,58
1006,Redskins,24,Ravens,20,Redskins,home,4,44
1007,Redskins,27,Ravens,31,Ravens,away,-4,58
1008,Redskins,10,Ravens,20,Ravens,away,-10,30
1009,Redskins,10,Ravens,37,Ravens,away,-27,47
1010,Redskins,24,Ravens,10,Redskins,home,14,34
1011,Redskins,9,Ravens,38,Ravens,away,-29,47
